Student,Question,Response,Score,Start,Revisions,Time
Student 01,1,option_3,1,"[""15-03-2023 05:44:02""]","[[""option_3"", ""15-03-2023 05:44:27""]]",25
Student 01,2,option_1,1,"[""15-03-2023 05:44:28""]","[[""option_1"", ""15-03-2023 05:44:37""]]",9
Student 01,3,option_4,1,"[""15-03-2023 05:44:37""]","[[""option_4"", ""15-03-2023 05:45:51""]]",73
Student 01,4,option_1,1,"[""15-03-2023 05:45:51""]","[[""option_1"", ""15-03-2023 05:47:56""]]",125
Student 01,5,option_1,0,"[""15-03-2023 05:47:56""]","[[""option_1"", ""15-03-2023 05:48:59""]]",62
Student 01,6,option_2,1,"[""15-03-2023 05:48:59""]","[[""option_2"", ""15-03-2023 05:49:09""]]",11
Student 01,7,option_3,1,"[""15-03-2023 05:49:09""]","[[""option_3"", ""15-03-2023 05:49:22""]]",12
Student 01,8,option_2,1,"[""15-03-2023 05:49:22""]","[[""option_2"", ""15-03-2023 05:49:42""]]",19
Student 01,9,option_1,1,"[""15-03-2023 05:49:42""]","[[""option_1"", ""15-03-2023 05:50:19""]]",36
Student 01,10,option_2,0,"[""15-03-2023 05:50:19""]","[[""option_2"", ""15-03-2023 05:51:13""]]",53
Student 01,11,option_1,1,"[""15-03-2023 05:51:13""]","[[""option_1"", ""15-03-2023 05:52:05""]]",52
Student 01,12,option_3,1,"[""15-03-2023 05:52:05""]","[[""option_3"", ""15-03-2023 05:53:17""]]",73
Student 01,13,option_2,0,"[""15-03-2023 05:53:18""]","[[""option_2"", ""15-03-2023 05:53:28""]]",10
Student 01,14,option_2,0,"[""15-03-2023 05:53:28""]","[[""option_2"", ""15-03-2023 05:53:51""]]",23
Student 01,15,option_4,1,"[""15-03-2023 05:53:51""]","[[""option_4"", ""15-03-2023 05:54:54""]]",62
Student 01,16,option_1,0,"[""15-03-2023 05:54:54""]","[[""option_1"", ""15-03-2023 05:55:43""]]",48
Student 01,17,option_2,1,"[""15-03-2023 05:55:43""]","[[""option_2"", ""15-03-2023 05:55:56""]]",13
